Timestamp,What age group do you fall under?,Which is your gender?,What would you say accurately matches your personality in a group discussion?,Choose all the options that are close to where you reside.,How often do you eat from fast foods each month?,What does your purchase mostly consist of?  [Nigerian dishes],What does your purchase mostly consist of?  [Burger],What does your purchase mostly consist of?  [Pizza],What does your purchase mostly consist of?  [Small chops],What does your purchase mostly consist of?  [Shawarma],What do you look for when choosing a fast food restaurant?,Which of the following have you been to at least twice in the last 2 months,"When it comes to ordering, which do you prefer the most?",What is the best way to reach you for special offers/Discounts?,What about a fast food restaurant endears you to them? [Their special offers],What about a fast food restaurant endears you to them? [The quality],What about a fast food restaurant endears you to them? [Value for your money],What about a fast food restaurant endears you to them? [Excellent service],What about a fast food restaurant endears you to them? [Convenience],What about a fast food restaurant endears you to them? [Price],What about a fast food restaurant endears you to them? [Social media savviness],What do you consider yourself to be the most?
2018/09/07 9:18:33 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Magodo,7 - 10,Most likely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Likely,Closest place;Cheapest place;Value for your money,Domino's Pizza Saka,Order online and get delivered;Order in a physical store and takeaway,An app belonging to the restaurant,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Indifferent,A Jollof Warrior
2018/09/07 9:21:24 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Gbagada,2 - 3,Most likely,Highly Unlikely,Likely,Highly Unlikely,Most likely,Value for your money,Debonair's Pizza,Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/07 9:22:10 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,2 - 3,Most likely,Likely,Likely,Likely,Likely,Vast menu options,Domino's Pizza Saka,Order in a physical store and dine in,Via SMS,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,A Burger Elitist
2018/09/07 9:23:40 PM GMT+1,18 - 25,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,7 - 10,Likely,Highly Unlikely,Most likely,Most likely,Highly Unlikely,Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza Saka;Debonair's Pizza,Order in a physical store and dine in,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Pizza Connoisseur
2018/09/07 9:25:34 PM GMT+1,18 - 25,Female,"Passionate, I sometimes over talk.",Gbagada,2 - 3,Likely,Most likely,Likely,Highly Unlikely,Most likely,Value for your money,Tastee fried Chicken ,Order in a physical store and takeaway,In-stores,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,Anything goes
2018/09/07 9:27:02 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,2 - 3,Most likely,Highly Unlikely,Likely,Highly Unlikely,Highly Unlikely,Vast menu options;Quality;Value for your money,Domino's Pizza Saka,Order online and get delivered,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Agree,Indifferent,A Jollof Warrior
2018/09/07 9:28:18 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Victoria Island;Gbagada,2 - 3,Likely,Most likely,Likely,Highly Unlikely,Most likely,Closest place;Quality;Value for your money,Domino's Pizza Saka,Order in a physical store and dine in,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Shawarma Expert
2018/09/07 9:30:49 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Magodo,More than 10,Most likely,Likely,Likely,Likely,Likely,Value for your money,Domino's Pizza Saka,Order in a physical store and dine in,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/07 9:32:04 PM GMT+1,18 - 25,Female,"Passionate, I sometimes over talk.",Victoria Island;Ikoyi;Lekki Phase 1,7 - 10,Most likely,Likely,Likely,Likely,Highly Unlikely,Vast menu options;Quality;Value for your money,Domino's Pizza Saka,Order online and get delivered,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Agree,Indifferent,A Burger Elitist
2018/09/07 9:33:49 PM GMT+1,25 - 34,Male,"Passionate, I sometimes over talk.",Magodo,More than 10,Most likely,Likely,Likely,Highly Unlikely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Burger Elitist
2018/09/07 9:37:29 PM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Gbagada,4 - 6,Most likely,Highly Unlikely,Likely,Most likely,Most likely,Quality;Value for your money,Domino's Pizza Saka,Order online and get delivered;Order in a physical store and dine in,Via SMS,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,A Shawarma Expert
2018/09/07 9:38:14 PM GMT+1,18 - 24,Male,"Shy, but I hold my own.",Lekki Phase 1;Gbagada,More than 10,Most likely,Likely,Likely,Most likely,Highly Unlikely,Closest place;Cheapest place;Value for your money,Domino's Pizza Saka;Debonair's Pizza,Order online and get delivered;Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Stongly Disagrre,A Jollof Warrior
2018/09/07 9:43:53 PM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Magodo,More than 10,Most likely,Highly Unlikely,Likely,Likely,Highly Unlikely,Vast menu options;Quality,"Domino's Pizza Saka;Coldstone creamery, hubmart e.t.c",Order in a physical store and takeaway,In-stores,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Jollof Warrior
2018/09/07 9:49:39 PM GMT+1,18 - 24,Male,"Passionate, I sometimes over talk.",Magodo;Gbagada,7 - 10,Most likely,Likely,Highly Unlikely,Most likely,Likely,Vast menu options;Quality;Value for your money,the place ,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/07 10:07:28 PM GMT+1,16,Female,I am authoritative.,Magodo,2 - 3,Likely,Likely,Likely,Likely,Likely,Closest place;Quality;Value for your money,Domino's Pizza Saka,Order online and get delivered;Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A jollof warrior and a shawarma expert
2018/09/07 10:08:32 PM GMT+1,18 - 24,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Magodo;Lekki Phase 1;Gbagada,4 - 6,Most likely,Likely,Likely,Highly Unlikely,Likely,Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza Saka;Debonair's Pizza,Order online and pick up;Order in a physical store and takeaway,Via Emails,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/07 10:09:26 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,0 - 1,Most likely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Burger Elitist
2018/09/07 10:11:33 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Highly Unlikely,Most likely,Likely,Most likely,Highly Unlikely,Quality;Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
