Timestamp,What age group do you fall under?,Which is your gender?,What would you say accurately matches your personality in a group discussion?,Choose all the options that are close to where you reside.,How often do you eat from fast foods each month?,What does your purchase mostly consist of?  [Nigerian dishes],What does your purchase mostly consist of?  [Burger],What does your purchase mostly consist of?  [Pizza],What does your purchase mostly consist of?  [Small chops],What does your purchase mostly consist of?  [Shawarma],What do you look for when choosing a fast food restaurant?,Which of the following have you been to at least twice in the last 2 months,"When it comes to ordering, which do you prefer the most?",What is the best way to reach you for special offers/Discounts?,What about a fast food restaurant endears you to them? [Their special offers],What about a fast food restaurant endears you to them? [The quality],What about a fast food restaurant endears you to them? [Value for your money],What about a fast food restaurant endears you to them? [Excellent service],What about a fast food restaurant endears you to them? [Convenience],What about a fast food restaurant endears you to them? [Price],What about a fast food restaurant endears you to them? [Social media savviness],What do you consider yourself to be the most?
2018/09/08 10:57:28 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,0 - 1,Most likely,Most likely,Most likely,Most likely,Most likely,Value for your money,mega chicken,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,A Jollof Warrior
2018/09/08 11:00:17 AM GMT+1,40+,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Ikoyi;Gbagada,More than 10,Most likely,Likely,Highly Unlikely,Highly Unlikely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order online and get delivered;Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Agree,Stongly Disagrre,A Pizza Connoisseur
2018/09/08 11:07:19 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Ikoyi,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Likely,Highly Unlikely,Quality,Domino's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Pizza Connoisseur
2018/09/08 11:09:54 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,2 - 3,Likely,Highly Unlikely,Likely,Highly Unlikely,Likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 11:25:02 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Victoria Island;Ikoyi;Lekki Phase 1,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Most likely,Highly Unlikely,Closest place;Quality;Value for your money,Domino's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Small Chops Supremacist
2018/09/08 11:28:18 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,4 - 6,Likely,Likely,Likely,Likely,Most likely,Quality,Debonair's Pizza,Order online and get delivered,Via Emails,Agree,Agree,Agree,Agree,Agree,Agree,Indifferent,A Jollof Warrior
2018/09/08 11:31:46 AM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Victoria Island;Ikoyi;Lekki Phase 1,More than 10,Most likely,Most likely,Most likely,Most likely,Most likely,Closest place;Vast menu options;Quality;Value for your money,Domino's Pizza,Order in a physical store and dine in,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 11:32:33 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Gbagada,0 - 1,Most likely,Likely,Likely,Highly Unlikely,Likely,Quality;Value for your money,Kilimanjaro,Order in a physical store and dine in,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A health conscious foodie
2018/09/08 11:33:46 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Magodo,0 - 1,Most likely,Highly Unlikely,Most likely,Highly Unlikely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/08 11:42:01 AM GMT+1,35 - 39,Female,"Passionate, I sometimes over talk.",Magodo,2 - 3,Likely,Likely,Likely,Likely,Likely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Naija food lover
2018/09/08 11:46:14 AM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Gbagada,0 - 1,Highly Unlikely,Likely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Vast menu options,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Agree,Agree,Strongly Agree,Indifferent,Indifferent,A Burger Elitist
2018/09/08 11:46:51 AM GMT+1,18 - 24,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,4 - 6,Likely,Most likely,Most likely,Highly Unlikely,Likely,Vast menu options,Domino's Pizza,Order in a physical store and dine in,Via SMS,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,A Pizza Connoisseur
2018/09/08 11:48:14 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,7 - 10,Most likely,Likely,Most likely,Most likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order online and pick up,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Small Chops Supremacist
2018/09/08 11:50:39 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Victoria Island;Gbagada,4 - 6,Likely,Highly Unlikely,Highly Unlikely,Likely,Most likely,Closest place;Value for your money,"Domino's Pizza;The place, chicken republic",Order online and get delivered;Order in a physical store and takeaway,Via Emails,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 11:52:32 AM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Gbagada,2 - 3,Highly Unlikely,Likely,Likely,Most likely,Likely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza;Shoprite,Order online and get delivered,Social media platforms,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 11:55:37 AM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",,2 - 3,Likely,Highly Unlikely,Likely,Likely,Most likely,Quality,Domino's Pizza;Debonair's Pizza,Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Agree,Strongly Agree,Indifferent,Indifferent,Stongly Disagrre,Small Chops Supremacist
2018/09/08 12:02:17 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,4 - 6,Most likely,Highly Unlikely,Likely,Likely,Most likely,Closest place;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Shawarma Expert
2018/09/08 12:05:43 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Most likely,Likely,Highly Unlikely,Likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and dine in,Via SMS,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,A Jollof Warrior
2018/09/08 12:08:32 PM GMT+1,35 - 39,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,0 - 1,Highly Unlikely,Most likely,Highly Unlikely,Likely,Likely,Cheapest place;Quality;Value for your money,Shoprite,Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 12:09:47 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,0 - 1,Most likely,Highly Unlikely,Likely,Likely,Likely,Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Indifferent,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 12:16:44 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,4 - 6,Likely,Likely,Highly Unlikely,Likely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza;Seven Eagles spur,Order in a physical store and dine in,Via Emails,Stongly Disagrre,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Stongly Disagrre,A Shawarma Expert
2018/09/08 12:22:45 PM GMT+1,18 - 24,Male,"Shy, but I hold my own.",Magodo,2 - 3,Most likely,Highly Unlikely,Likely,Most likely,Likely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Burger Elitist
2018/09/08 12:34:36 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,More than 10,Likely,Likely,Likely,Highly Unlikely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and dine in,In-stores,Indifferent,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 12:34:38 PM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Gbagada,4 - 6,Most likely,Most likely,Most likely,Highly Unlikely,Most likely,Quality,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,A Shawarma Expert
2018/09/08 12:35:25 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Gbagada,More than 10,Most likely,Likely,Likely,Most likely,Likely,Cheapest place;Vast menu options;Value for your money,Domino's Pizza,Order online and get delivered,Via Emails,Indifferent,Agree,Agree,Strongly Agree,Agree,Agree,Indifferent,Small Chops Supremacist
2018/09/08 12:36:01 PM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Victoria Island;Ikoyi;Lekki Phase 1;Gbagada,More than 10,Most likely,Most likely,Most likely,Most likely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and dine in;Order online and pick up;Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Burger Elitist
2018/09/08 12:36:55 PM GMT+1,18 - 24,Male,"Shy, but I hold my own.",,More than 10,Most likely,Highly Unlikely,Highly Unlikely,Most likely,Likely,Closest place;Cheapest place;Value for your money,Domino's Pizza,Order in a physical store and dine in,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 12:37:38 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Magodo,2 - 3,Highly Unlikely,Likely,Highly Unlikely,Highly Unlikely,Most likely,Vast menu options;Value for your money,Debonair's Pizza,Order online and get delivered,Via Emails,Indifferent,Agree,Agree,Strongly Agree,Agree,Agree,Agree,A Burger Elitist
2018/09/08 12:40:27 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Gbagada,4 - 6,Most likely,Most likely,Highly Unlikely,Likely,Likely,Closest place;Cheapest place;Quality,Domino's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Stongly Disagrre,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Stongly Disagrre,A Burger Elitist
2018/09/08 12:40:42 PM GMT+1,18 - 24,Male,"Passionate, I sometimes over talk.",Magodo,4 - 6,Likely,Highly Unlikely,Likely,Most likely,Most likely,Cheapest place;Quality,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Shawarma Expert
2018/09/08 12:41:15 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,7 - 10,Most likely,Likely,Likely,Highly Unlikely,Most likely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza;Milano Pizza,Order online and get delivered;Order in a physical store and takeaway,An app belonging to the restaurant,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 12:42:13 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,4 - 6,Highly Unlikely,Likely,Likely,Highly Unlikely,Highly Unlikely,Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and dine in,An app belonging to the restaurant,Indifferent,Strongly Agree,Agree,Agree,Agree,Agree,Indifferent,A Jollof Warrior
2018/09/08 12:44:24 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Most likely,Likely,Most likely,Highly Unlikely,Most likely,Quality;Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,Strongly Agree,Agree,A Shawarma Expert
2018/09/08 12:45:01 PM GMT+1,25 - 34,Male,I am authoritative.,Gbagada,2 - 3,Most likely,Highly Unlikely,Likely,Most likely,Likely,Closest place,Chicken Republic ,Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,A Jollof Warrior
2018/09/08 12:45:37 PM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Magodo;Gbagada,7 - 10,Most likely,Most likely,Highly Unlikely,Likely,Most likely,Value for your money,Chicken Republic ,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 12:45:48 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,4 - 6,Likely,Most likely,Likely,Highly Unlikely,Likely,Value for your money,Chicken Republic,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Agree,Agree,Strongly Agree,Agree,Indifferent,Strongly Agree,Indifferent,A Burger Elitist
2018/09/08 12:46:47 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,More than 10,Likely,Most likely,Most likely,Likely,Likely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order online and get delivered,Via SMS,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Indifferent,A Burger Elitist
2018/09/08 12:48:38 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,4 - 6,Most likely,Likely,Likely,Highly Unlikely,Most likely,Value for your money,bukka hut,Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,everything food 
2018/09/08 12:48:50 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,7 - 10,Most likely,Likely,Most likely,Most likely,Most likely,Cheapest place,Domino's Pizza,Order in a physical store and takeaway,An app belonging to the restaurant,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Small Chops Supremacist
2018/09/08 12:49:12 PM GMT+1,18 - 24,Male,"Shy, but I hold my own.",Gbagada,4 - 6,Most likely,Highly Unlikely,Likely,Likely,Most likely,Closest place,Domino's Pizza,Order in a physical store and dine in,An app belonging to the restaurant,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 12:49:40 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,More than 10,Likely,Highly Unlikely,Likely,Likely,Likely,Value for your money,Domino's Pizza,Order online and get delivered,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 12:50:26 PM GMT+1,25 - 34,Male,"Passionate, I sometimes over talk.",Victoria Island;Ikoyi;Lekki Phase 1,More than 10,Likely,Most likely,Most likely,Most likely,Most likely,Vast menu options;Quality;Value for your money,"Domino's Pizza;Debonair's Pizza;SPUR, CHICKEN REP,  KFC, THE PLACE, BUKKA HUT, SPURS...",Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,MEAT LOVER
2018/09/08 12:52:26 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Lekki Phase 1;Gbagada,7 - 10,Most likely,Highly Unlikely,Likely,Most likely,Most likely,Closest place;Cheapest place;Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Small Chops Supremacist
2018/09/08 12:54:33 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,More than 10,Likely,Most likely,Most likely,Likely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and dine in,In-stores,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/08 12:54:36 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,2 - 3,Highly Unlikely,Most likely,Most likely,Likely,Most likely,Quality,Domino's Pizza,Order online and get delivered,An app belonging to the restaurant,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Shawarma Expert
2018/09/08 12:55:28 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Victoria Island,2 - 3,Most likely,Highly Unlikely,Most likely,Likely,Highly Unlikely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Indifferent,Agree,Agree,Agree,Strongly Agree,Agree,Indifferent,A Jollof Warrior
2018/09/08 12:55:43 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Victoria Island;Lekki Phase 1,4 - 6,Most likely,Highly Unlikely,Most likely,Highly Unlikely,Likely,Value for your money,Domino's Pizza,Order online and get delivered,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Small Chops Supremacist
2018/09/08 1:03:40 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Victoria Island,0 - 1,Likely,Highly Unlikely,Highly Unlikely,Most likely,Highly Unlikely,Value for your money,Sweet sensation ,Order in a physical store and dine in,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 1:04:44 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,2 - 3,Most likely,Highly Unlikely,Likely,Likely,Likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 1:07:08 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,4 - 6,Highly Unlikely,Likely,Likely,Most likely,Most likely,Vast menu options,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Stongly Disagrre,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Indifferent,A Pizza Connoisseur
2018/09/08 1:08:41 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,7 - 10,Most likely,Highly Unlikely,Likely,Highly Unlikely,Likely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 1:09:17 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Magodo,4 - 6,Highly Unlikely,Likely,Highly Unlikely,Most likely,Most likely,Quality,"01 sharwarma, not a pizza fan",Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 1:10:21 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,2 - 3,Highly Unlikely,Likely,Most likely,Most likely,Highly Unlikely,Quality,Domino's Pizza,Order in a physical store and dine in,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 1:12:56 PM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Gbagada,2 - 3,Most likely,Most likely,Likely,Most likely,Most likely,Value for your money,Debonair's Pizza,Order in a physical store and takeaway,An app belonging to the restaurant,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Jollof Warrior
2018/09/08 1:13:29 PM GMT+1,40+,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,7 - 10,Likely,Likely,Likely,Most likely,Likely,Closest place;Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and takeaway,Social Media,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,A Shawarma Expert
2018/09/08 1:13:53 PM GMT+1,18 - 24,Male,"Shy, but I hold my own.",Magodo;Gbagada,2 - 3,Highly Unlikely,Likely,Most likely,Highly Unlikely,Likely,Quality,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Indifferent,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Burger Elitist
2018/09/08 1:15:16 PM GMT+1,18 - 24,Male,"Shy, but I hold my own.",Victoria Island,4 - 6,Most likely,Likely,Likely,Most likely,Highly Unlikely,Value for your money,Domino's Pizza;Item7 (ilorin),Order online and get delivered,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Jollof Warrior
2018/09/08 1:15:44 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,4 - 6,Most likely,Likely,Highly Unlikely,Most likely,Likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 1:17:03 PM GMT+1,18 - 24,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,0 - 1,Likely,Highly Unlikely,Likely,Highly Unlikely,Likely,Value for your money,None,Order in a physical store and takeaway,In-stores,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Pizza Connoisseur
2018/09/08 1:17:03 PM GMT+1,18 - 24,Male,"Shy, but I hold my own.",Victoria Island,More than 10,Most likely,Likely,Likely,Most likely,Highly Unlikely,Cheapest place,Debonair's Pizza,Order in a physical store and takeaway,In-stores,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Jollof Warrior
2018/09/08 1:19:37 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Most likely,Highly Unlikely,Likely,Highly Unlikely,Most likely,Value for your money,Chicken republic,Order in a physical store and dine in,Via SMS,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Pizza Connoisseur
2018/09/08 1:20:18 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),,2 - 3,Highly Unlikely,Most likely,Most likely,Highly Unlikely,Likely,Quality,Domino's Pizza,Order in a physical store and dine in,Via SMS,Indifferent,Agree,Indifferent,Agree,Agree,Agree,Indifferent,A Shawarma Expert
2018/09/08 1:21:02 PM GMT+1,25 - 34,Male,"Passionate, I sometimes over talk.",Magodo;Gbagada,More than 10,Likely,Most likely,Highly Unlikely,Likely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and dine in,In-stores,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,Indifferent,Small Chops Supremacist
2018/09/08 1:22:10 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Lekki Phase 1,7 - 10,Most likely,Highly Unlikely,Most likely,Likely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 1:24:06 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Magodo;Ikoyi;Lekki Phase 1;Gbagada,4 - 6,Most likely,Highly Unlikely,Most likely,Most likely,Highly Unlikely,Closest place;Vast menu options;Quality;Value for your money,"Domino's Pizza;Debonair's Pizza;Chicken Republic , Cold stone, sharwarma and co ",Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Pizza Connoisseur
2018/09/08 1:24:23 PM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Victoria Island;Ikoyi;Lekki Phase 1;Gbagada,7 - 10,Most likely,Highly Unlikely,Likely,Likely,Likely,Closest place;Vast menu options;Quality;Value for your money,Domino's Pizza;Debonair's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Turkey Supremacist
2018/09/08 1:27:24 PM GMT+1,18 - 24,Male,I am authoritative.,Magodo,2 - 3,Most likely,Likely,Likely,Most likely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,An app belonging to the restaurant,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 1:27:35 PM GMT+1,35 - 39,Male,"Shy, but I hold my own.",Magodo;Gbagada,7 - 10,Most likely,Highly Unlikely,Highly Unlikely,Likely,Likely,Closest place;Cheapest place;Quality,Domino's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Strongly Agree,Agree,Strongly Agree,Indifferent,Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 1:27:50 PM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,0 - 1,Most likely,Highly Unlikely,Most likely,Most likely,Most likely,Closest place,Savery,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
